M = 50  (0/123 already done)
  test_r=0.7769  n_iter=1100  wall=127.5s
  test_r=0.6874  n_iter=1008  wall=114.7s
  test_r=0.6908  n_iter=1110  wall=127.5s
  test_r=0.6899  n_iter=884  wall=99.5s
  test_r=0.8741  n_iter=415  wall=49.5s
  test_r=0.8757  n_iter=400  wall=49.8s
  test_r=0.8866  n_iter=527  wall=66.8s
  test_r=0.9136  n_iter=1500  wall=172.0s
  test_r=0.9173  n_iter=1369  wall=152.8s
  test_r=0.9077  n_iter=1500  wall=175.8s
  test_r=0.9079  n_iter=811  wall=86.8s
  test_r=0.8986  n_iter=712  wall=78.8s
  test_r=0.8999  n_iter=804  wall=89.2s
  test_r=0.9660  n_iter=468  wall=54.1s
  test_r=0.9606  n_iter=394  wall=45.5s
  test_r=0.9647  n_iter=361  wall=42.3s
  test_r=0.9629  n_iter=897  wall=106.5s
  test_r=0.9610  n_iter=791  wall=94.3s
  test_r=0.9616  n_iter=719  wall=86.5s
  test_r=0.9396  n_iter=1073  wall=120.5s
  test_r=0.9484  n_iter=977  wall=109.4s
  test_r=0.9441  n_iter=1171  wall=131.3s
  test_r=0.9213  n_iter=1361  wall=151.6s
  test_r=0.9046  n_iter=916  wall=101.5s
  test_r=0.9156  n_iter=1267  wall=145.3s
  test_r=0.6972  n_iter=730  wall=86.3s
  test_r=0.6463  n_iter=722  wall=86.4s
  test_r=0.6489  n_iter=813  wall=96.0s
  test_r=0.9539  n_iter=980  wall=109.9s
  test_r=0.9557  n_iter=850  wall=95.4s
  test_r=0.9558  n_iter=947  wall=106.5s
  test_r=0.8779  n_iter=971  wall=109.1s
  test_r=0.8628  n_iter=1100  wall=126.0s
  test_r=0.8845  n_iter=1175  wall=128.1s
  test_r=0.9741  n_iter=1300  wall=145.1s
  test_r=0.9681  n_iter=1500  wall=166.4s
  test_r=0.9550  n_iter=1500  wall=168.5s
  test_r=0.7244  n_iter=828  wall=96.4s
  test_r=0.7394  n_iter=810  wall=94.0s
  test_r=0.7714  n_iter=897  wall=103.8s
  test_r=0.8539  n_iter=531  wall=62.6s
  test_r=0.8519  n_iter=536  wall=63.6s
  test_r=0.8447  n_iter=518  wall=61.5s
  test_r=0.8229  n_iter=849  wall=96.3s
  test_r=0.8089  n_iter=857  wall=98.0s
  test_r=0.7600  n_iter=751  wall=85.1s
  test_r=0.7287  n_iter=763  wall=97.9s
  test_r=0.7683  n_iter=707  wall=90.8s
  test_r=0.7926  n_iter=1001  wall=127.4s
  test_r=0.8177  n_iter=634  wall=76.0s
  test_r=0.8204  n_iter=528  wall=64.3s
  test_r=0.8172  n_iter=660  wall=79.1s
  test_r=0.9545  n_iter=1500  wall=166.3s
  test_r=0.9447  n_iter=1500  wall=166.9s
  test_r=0.9496  n_iter=1500  wall=169.9s
  test_r=0.9356  n_iter=711  wall=82.9s
  test_r=0.9427  n_iter=880  wall=101.4s
  test_r=0.9496  n_iter=1032  wall=118.4s
  test_r=0.9236  n_iter=960  wall=109.8s
  test_r=0.9109  n_iter=1275  wall=145.3s
  test_r=0.9248  n_iter=1221  wall=140.2s
  test_r=0.8224  n_iter=1500  wall=178.1s
  test_r=0.8468  n_iter=1500  wall=175.9s
  test_r=0.8243  n_iter=1500  wall=183.5s
  test_r=0.7021  n_iter=831  wall=94.0s
  test_r=0.7000  n_iter=760  wall=85.9s
  test_r=0.6918  n_iter=737  wall=82.9s
  test_r=0.7855  n_iter=1288  wall=143.3s
  test_r=0.7982  n_iter=1232  wall=137.6s
  test_r=0.7858  n_iter=1185  wall=133.5s
  test_r=0.7943  n_iter=843  wall=104.2s
  test_r=0.7836  n_iter=1245  wall=164.0s
  test_r=0.7790  n_iter=949  wall=123.1s
  test_r=0.9755  n_iter=909  wall=103.9s
  test_r=0.9798  n_iter=896  wall=101.0s
  test_r=0.9796  n_iter=941  wall=107.1s
  test_r=0.7807  n_iter=798  wall=94.9s
  test_r=0.7857  n_iter=815  wall=97.0s
  test_r=0.7815  n_iter=1016  wall=117.1s
  test_r=0.9580  n_iter=901  wall=104.0s
  test_r=0.9574  n_iter=754  wall=86.8s
  test_r=0.9585  n_iter=793  wall=91.4s
  test_r=0.8507  n_iter=600  wall=77.0s
  test_r=0.8472  n_iter=656  wall=84.7s
  test_r=0.8507  n_iter=520  wall=66.2s
  test_r=0.8346  n_iter=825  wall=103.5s
  test_r=0.8561  n_iter=829  wall=101.4s
  test_r=0.8268  n_iter=652  wall=80.0s
  test_r=0.8532  n_iter=583  wall=69.4s
  test_r=0.8462  n_iter=706  wall=83.7s
  test_r=0.8554  n_iter=657  wall=77.9s
  test_r=0.9016  n_iter=728  wall=85.7s
  test_r=0.8878  n_iter=700  wall=82.1s
  test_r=0.8935  n_iter=722  wall=84.9s
  test_r=0.7833  n_iter=543  wall=71.1s
  test_r=0.7685  n_iter=937  wall=115.9s
  test_r=0.8036  n_iter=966  wall=119.8s
  test_r=0.4985  n_iter=708  wall=86.2s
  test_r=0.6332  n_iter=767  wall=92.6s
  test_r=0.5004  n_iter=695  wall=85.4s
  test_r=0.8410  n_iter=901  wall=127.1s
  test_r=0.8334  n_iter=965  wall=133.0s
  test_r=0.8475  n_iter=770  wall=105.4s
M = 300  (0/123 already done)
  test_r=0.6551  n_iter=1231  wall=157.9s
  test_r=0.6671  n_iter=1140  wall=146.5s
  test_r=0.6619  n_iter=1109  wall=140.1s
  test_r=0.9851  n_iter=913  wall=105.8s
  test_r=0.9851  n_iter=851  wall=98.4s
  test_r=0.9861  n_iter=791  wall=93.6s
  test_r=0.8824  n_iter=1159  wall=167.9s
  test_r=0.9231  n_iter=1332  wall=177.0s
  test_r=0.9208  n_iter=1500  wall=204.6s
  test_r=0.8720  n_iter=548  wall=68.9s
  test_r=0.8681  n_iter=523  wall=65.3s
  test_r=0.8635  n_iter=589  wall=74.2s
  test_r=0.9172  n_iter=731  wall=98.7s
  test_r=0.9156  n_iter=652  wall=90.1s
  test_r=0.9079  n_iter=811  wall=110.3s
  test_r=0.6805  n_iter=562  wall=69.0s
  test_r=0.6802  n_iter=622  wall=75.7s
  test_r=0.7034  n_iter=736  wall=88.8s
  test_r=0.8064  n_iter=798  wall=98.0s
  test_r=0.7860  n_iter=833  wall=103.5s
  test_r=0.7825  n_iter=1050  wall=130.7s
  test_r=0.6899  n_iter=936  wall=114.3s
  test_r=0.6928  n_iter=1101  wall=134.5s
  test_r=0.6923  n_iter=884  wall=107.5s
  test_r=0.8776  n_iter=411  wall=53.1s
  test_r=0.8741  n_iter=391  wall=51.0s
  test_r=0.8815  n_iter=456  wall=61.9s
  test_r=0.9277  n_iter=1500  wall=181.6s
  test_r=0.9243  n_iter=1382  wall=162.1s
  test_r=0.9130  n_iter=1500  wall=185.2s
